#English multiwords file used for EnglishHybridDisambiguator
# Use this file only for multi-word terms that have these properties: 1) disambiguation is not necessary. 2) the term has only one part of speech (NOT sotto voce, which is RB and JJ).
# Do not add the term to spelling.txt, because spelling is ignored automatically for each term in this file.
# Terms are case-sensitive, but for each term, POS is added and spelling is ignored for (1) all uppercase text and (2) for text that has a capital letter for the first character of the first word.
All Saints Sisters of the Poor	NNP # www.allsaintssistersofthepoor.org.uk
Empire Windrush	NNP
Ijeoma Oluo	NNP
Philo Judaeus	NNP
The Deerslayer	NNP
Bozo the Clown	NNP
Dade County	NNP
du Pont	NNP
Hamburg Süd	NNP
Maersk Line	NNP
Eden Prairie	NNP
SouthWest Transit	NNP
Carver County	NNP
SIG Sauer	NNP
Su Shi	NNP
Lupita Nyong'o	NNP
Lupita Amondi Nyong'o	NNP
Peter Anyang' Nyong'o	NNP
chargés d'affaires	NNS
chargé d'affaires	NN
L'Amour	NNP
Sidewise Award	NNP
Sidewise Awards	NNPS
Gucci Mane	NNP
Norte Chico	NNP
gluteus maximus	NN:UN
Squidward Tentacles	NNP
Primetime Emmy Award	NNP
Primetime Emmy Awards	NNPS
Salma Hayek	NNP
Sirenia Vista Park	NNP
Grand Coteau	NNP
Van Buren	NNP
John Nance Garner	NNP
Lyndon Baines Johnson	NNP
Yorba Linda	NNP
Fort Snelling	NNP
USS Pomfret	NNP
USS Seawolf	NNP
Ayn Rand Institute	NNP
uBlock Origin	NNP
del Conte	NNP
Del Monte Foods	NNP
Jacques Chirac	NNP
Mario Draghi	NNP
Puerto Real	NNP
El Yunque	NNP
Isla Verde	NNP
El Morro	NNP
Castillo San Felipe del Morro	NNP
amicus curiae	NN
amici curiae	NNS
Wes Anderson	NNP
Wes Craven	NNP
Wes Studi	NNP
Wes Chatham	NNP
Wes Borland	NNP
Wes Madiko	NNP
USS Nimitz	NNP
USS Carl Vinson	NNP
Fort Mims	NNP
Whit Sunday	NNP
Gulf of Taranto	NNP
Santa Maria di Leuca	NNP
Via Dolorosa	NNP
Asperger syndrome	NN:U
Big Lebowski	NNP
notwithstanding clause	NN
notwithstanding clauses	NNS
Sturm, Ruger	NNP
Sturm Ruger	NNP
en suite	RB
en suite	JJ
Bilbo Baggins	NNP
La Liga	NNP
Atlético Mineiro	NNP
Copa Libertadores	NNP
Parc des Princes	NNP
Pocono Mountains	NNP
Fernandina Beach	NNP
Milhouse Van Houten	NNP
Banque du Liban	NNP
Banque de Luxembourg	NNP
Banque du Caire	NNP
Banque de Montréal	NNP
Ligue 1	NNP
Stade Rennais	NNP
Girondins de Bordeaux	NNP
Coupe de la Ligue	NNP
Stade de France	NNP
latissimus dorsi	NN
latissimi dorsi	NNS
erythema nodosum	NN:U
pyoderma gangrenosum	NN:U
bromthymol blue	NN:UN
bromthymol blues	NNS
bromothymol blue	NN:UN
bromothymol blues	NNS
pyruvic acid	NN:U
Sankt Augustin	NNP
Deutscher Bundestag	NNP
Max Brauer	NNP
de profundis	NN:U
et voilà	UH
El Nido	NNP
Jules Verne	NNP
Jamie Foxx	NNP
Swabian Jura	NNP
De La Salle College	NNP
Río Guadalupe	NNP
Kerr County	NNP
Schreiner University	NNP
Valar Ventures	NNP
Ma Huateng	NNP
Altamaha River	NNP
Canterville Ghost	NNP
Petri dish	NNP
Oconee County	NNP
Oconee River	NNP
Oconee Nuclear Station	NNP
Lake Keowee	NNP
The Tragically Hip	NNP
Filles du Roi	NNP
Calaveras County	NNP
Penitencia Creek	NNP
Michael Gove	NNP
Taco Bell	NNP
Cordite MD	NN:U
Starwood Hotels	NNP
Piltdown man	NNP
benzoic acid	NN:U
salva veritate	RB
Manny Pacquiao	NNP
Manny Ramirez	NNP
Manny Machado	NNP
Manny Jacinto	NNP
Manny Harris	NNP
Manny Diaz	NNP
Manny Malhotra	NNP
Manny Shinwell	NNP
Manny Montana	NNP
Chiang Kai-shek	NNP
South China Morning Post	NNP
Candid Camera	NNP
Jony Ive	NNP
General Motors	NNP
Defiance County	NNP
Patanjali Ayurved	NNP
Paulding County	NNP
Putnam County	NNP
Williams County	NNP
Broken Arrow	NNP
Ponca City	NNP
Azad Jammu	NNP
Black Eyed Peas	NNP
Doc Brown	NNP
Don Quixote	NNP
Ningaloo Coast	NNP
Abu Bakr	NNP
Halo Infinite	NNP
Brownsea Island	NNP
Herzberg am Harz	NNP
Allahu Akbar	UH
Allah Akbar	UH
insulin glargine	NN:U
argan oil	NN:U
Allegan County	NNP
Lake Macatawa	NNP
Macatawa River	NNP
Sierra Maestra	NNP
Faneuil Hall	NNP
Shawmut Peninsula	NNP
Ivy Lab	NNP
Sandy Springs	NNP
Cox Communications	NNP
Songhai Empire	NNP
Sou Fujimoto	NNP
germline insertion	NN:UN
de Soto	NNP
Nike Air	NNP
Nike Air Max	NNP
Lackawanna County	NNP
Schitt's Creek	NNP
Schitt’s Creek	NNP
Kristi Noem	NNP
Matt Bevin	NNP
John Bel Edwards	NNP
Bel Edwards	NNP
Michelle Lujan Grisham	NNP
Lujan Grisham	NNP
La Cosa Nostra	NNP
Cosa Nostra	NNP
hasta la vista	UH
Beau Biden	NNP
corpus callosum	NN
corpus callosums	NNS
Mark Esper	NNP
Lade Placid	NNP
Brokeback Mountain	NNP
Coen brothers	NNPS
Joel Coen	NNP
Ethan Coen	NNP
substantia nigra	NN:UN
substantiae nigrae	NNS
Zac Efron	NNP
Saint Barthélemy	NNP
St. Barthélemy	NNP
St Barthélemy	NNP
Saint Barts	NNP
St. Barts	NNP
St Barts	NNP
Sint Maarten	NNP
Entrepot Mediatic	NNP
Laboratoire Mediatic	NNP
Mediatic Labs	NNP
Produits L'Action	NNP
Stand L'Action	NNP
Stand Mediatic	NNP
Usine Mediatic	NNP
Arlington National Cemetery	NNP
Potomac River	NNP
Custis Lee	NNP
Parke Custis	NNP
Custis-Lee Mansion	NNP
Montgomery C. Meigs	NNP
Montgomery Cunningham Meigs	NNP
Montgomery Meigs	NNP
Wallis and Futuna	NNP
Wallis & Futuna	NNP
Ron Klain	NNP
Ronald Klain	NNP
Milhous Nixon	NNP
Beyond Meat	NNP
Jabba the Hutt	NNP
Princess Leia	NNP
Kylo Ren	NNP
Meryl Streep	NNP
Pancho Villa	NNP
Queen Fria	NNP
Padmé Amidala	NNP
División del Norte	NNP
Venustiano Carranza	NNP
Camino del Norte	NNP
Balliol College	NNP
Keweenaw Peninsula	NNP
Stannard Rock Reef	NNP
Stannard Rock Light	NNP
USS Cod	NNP
Sutter County	NNP
stearic acid	NN:U
stearic acids	NNS
Fernandina Island	NNP
carbonic anhydrase	NN
carbonic anhydrases	NNS
corpus luteum	NN
corpus lutea	NNS
Metcalfe Poe	NNP
Banco National Park	NNP
Yaque Del Norte	NNP
Likert scale	NN
Likert scales	NNS
Nikki Haley	NNP
Please Touch Museum	NNP
E.ON AG	NNP
Oberoesterreichische Ferngas AG	NNP
vastus lateralis	NN
vastus laterales	NNS
rectus lateralis	NN
rectus laterales	NNS
T. rex	NNP
T. rexes	NNPS
Tyrannosaurus rex	NNP
Tyrannosaurus rexes	NNPS
deus ex machina	NN
deus ex machinas	NNS
Crabbe Mountain	NNP
Baystate Health	NNP
Floyd County	NNP
Joachim Löw	NNP
East Anglia	NNP
Gangnam Style	NNP
Questrom School of Business	NNP
rose hortensia	NN
rose hortensias	NNS
Whole Foods	NNP
daddy longlegs	NN
daddy longlegs	NNS
Horsehead Nebula	NNP
pantothenic acid	NN:U
a/c	NN:UN
a/cs	NNS
a/c	JJ
Tahquamenon Falls	NNPS
Tahquamenon River	NNP
Hôtel Ritz	NNP
Bob Geldof	NNP
Green New Deal	NNP
Tennessee Smokies	NNP
West Tenn Diamond Jaxx	NNP
Bly Manor	NNP
Tim Allen	NNP
Uma Thurman	NNP
Maye Musk	NNP
Kimbal Musk	NNP
Rita Ora	NNP
Sophie Scholl	NNP
Wear OS	NNP
Android Wear	NNP
Violet Evergarden	NNP
Viz-Jaq'taar	NNP
Sempra Energy	NNP
Violet Evergarden	NNP
oxaloacetic acid	NN:U
profunda femoris	NN
profunda femores	NNS
quadratus femoris	NN
quadratus femores	NNS
quadriceps femoris	NN
quadriceps femores	NNS
rectus femoris	NN
rectus femores	NNS
biceps brachii	NN
biceps brachiorum	NNS
biceps femoris	NN
biceps femores	NNS
Vicentine Alps	NNPS
singletary pea	NN
Moshi Monsters	NNPS
Meridiani Planum	NNP
Hans Vestberg	NNP
Bumiller Building	NNP
Herman Melville	NNP
Frank Zappa	NNP
Whitney Houston	NNP
Celine Dion	NNP
Johannes Gutenberg	NNP
van der Velden	NNP
van Velden	NNP
Adobe XD	NNP
Ferris Bueller	NNP
Huazhong University	NNP
Homo heidelbergensis	NNP
Homo Heidelbergensis	NNP
pro bono	JJ
pro bono	RB
Maui County	NNP
Hawaii County	NNP
Honolulu County	NNP
Kauai County	NNP
Kalawao County	NNP
Pine Bluff	NNP
Good Friday Agreement	NNP
José Martí	NNP
Dalai Lama	NNP
Janet Yellen	NNP
Jerome Powell	NNP
Christine Lagarde	NNP
Keira Knightley	NNP
Project Veritas	NNP
Carl Schenck	NNP
Cameron Diaz	NNP
Jeon Jungkook	NNP
BTS Universe	NNP
Chilton County	NNP
Lake Titicaca	NNP
South Dakotan	NNP
South Dakotans	NNPS
South Dakotan	JJ
North Dakotan	NNP
North Dakotans	NNPS
North Dakotan	JJ
South Devon	NNP
Iset River	NNP
Nizhny Novgorod	NNP
Ruben Salazar	NNP
Erdős number	NNP
Paul Erdős	NNP
Cai Xia	NNP
Wojciech Kilar	NNP
Jason Kilar	NNP
Fort Drum	NNP
Bukit Batok	NNP
Bt Batok	NNP
Pasir Ris	NNP
Choa Chu Kang	NNP
Jurong East	NNP
Jurong West	NNP
Ang Mo Kio	NNP
Johor Bahru	NNP
Tanah Merah	NNP
Bukit Panjang	NNP
Rishon LeTsiyon	NNP
Bet Shemesh	NNP
Petah Tikva	NNP
Be'er Sheva	NNP
Ramat HaSharon	NNP
Kiryat Ata	NNP
Haifa District	NNP
Tirat Carmel	NNP
San Marinese	NNP
San Marinese	NNPS
San Lorenzo	NNP
Julilly House Kohler	NNP
Cesare Beccaria	NNP
Mila Kunis	NNP
Mark Wahlberg	NNP
Santiago de Chile	NNP
Atlántico Department	NNP
Seth Rogen	NNP
Jonah Hill	NNP
Margaret Thatcher	NNP
et cetera	RB
Cesare Beccaria	NNP
Lamborghini Urus	NNP
Bothnian Sea	NNP
KC Claffy	NNP
Glen Burnie	NNP
North Bethesda	NNP
Severna Park	NNP
Owings Mills	NNP
Milford Mill	NNP
Amy Winehouse	NNP
Kurt Cobain	NNP
duces tecum	NN
duces tecums	NNS
Xi Jinping	NNP
Wen Jiabao	NNP
Jiang Zemin	NNP
Facebook Creator Studio	NNP
Don Draper	NNP
Audemars Piguet	NNP
Schneider Electric	NNP
magnifying glass	NN
magnifying glasses	NNS
Times Square	NNP
Fyodor Dostoevsky	NNP
Anton Chekhov	NNP
Vladimir Nabokov	NNP
Nikolai Gogol	NNP
Boston Dynamics	NNP
José Mourinho	NNP
Pep Guardiola	NNP
Zinedine Zidane	NNP
Kweichow Moutai	NNP
Abdel Fattah	NNP
MidAmerican Energy	NNP
Rahim Yar Khan	NNP
Dera Ghazi Khan	NNP
Wah Cantonment	NNP
Mirpur Khas	NNP
Dera Ismail Khan	NNP
Mandi Bahauddin	NNP
Tando Allahyar	NNP
Tando Adam	NNP
Kot Abdul Malik	NNP
Branco River	NNP
Rio Negro	NNP
Batangas knife	NN
Batangas knives	NNS
Wayland the Smith	NNP
Amazon AtoZ	NNP
third worlder	NN
third worlders	NNS
Azad Kashmir	NNP
succès fou	NN
perpetuum mobile	NN
kere perpetuum	NN
keri perpetuum	NNS
pooper scooper	NN
pooper scoopers	NNS
Vendée Globe	NNP
Amalfi Coast	NNP
Miss Moneypenny	NNP
Antigonus I	NNP
Amerigo Vespucci	NNP
Magna Steyr	NNP
Bertie County	NNP
Saks Fifth Avenue	NNP
differently abled	JJ
Dar es Salaam	NNP
Eddie Van Halen	NNP
Van Halen	NNP
Who Shall I Say is Calling & Other Stories	NNP # https://en.wikipedia.org/wiki/Arkham_House
Newport Pagnell	NNP
Jen Psaki	NNP
Primorsky District	NNP
Bolshaya Neva	NNP
Malaya Neva	NNP
Reka Malaya Neva	NNP
Chupa Chups	NNPS
Gummi Bears	NNPS
South Tyrol	NNP
High Tatras	NNPS
Pend Oreille River	NNP
Pend-d'Oreille River	NNP
The Swinge	NNP
Flo Rida	NNP
Aga Khan	NNP
Ivan Bohun	NNP
Tarun Das	NNP
Çağrı Bey	NNP
Chaghri Beg	NNP
Avista Corporation	NNP
Avista Utilities	NNP
Azizi Bank	NNP
Banca Commerciale Italiana (COMIT)	NNP
Banca Commerciale Italiana	NNP
Fedorov Avtomat	NNP
Fedorov Avtomats	NNPS
Lockheed L-1011 TriStar	NNP
Lockheed L-1011 TriStars	NNPS
Pashtany Bank	NNP
Crédit Mobilier	NNP
Ahura Mazda	NNP
au pair	NN
au pairs	NNS
caveat emptor	NN
caveat emptors	NNS
News Corp	NNP
Herbert Lindenberger	NNP
The Decameron	NNP
Secolo d'Italia	NNP
coureur de bois	NN
coureurs de bois	NNS
Nalleli Cobo	NNP
Ai River	NNP
Ai Siqi	NNP
Ai Tominaga	NNP
Ai Toyon	NNP
Ai Weiwei	NNP
Ai Yazawa	NNP
Emperor Ai of Han	NNP
Emperor Ai of Jin	NNP
Emperor Ai of Tang	NNP
King Ai of Chu	NNP
King Ai of Zhou	NNP
Princess Ai	NNP
Sima Ai	NNP
Xie Ai	NNP
Bam Bam Bigelow	NNP
medulla oblongata	NN:U
diethyl ether	NN:U
diethyl zinc	NN:U
diethyl ketone	NN:U
diethyl phthalate	NN:U
diethyl sulfate	NN:U
diethyl toluamide	NN:U
Abu Nasr Al-Farabi	NNP
Abū Naṣr Muḥammad ibn Muḥammad al Fārābī	NNP


# Multiwords from spelling.txt. Tags have to be checked.

.edu	NNP
.htaccess	NNP
20th Century Fox	NNP
20th Century Studios	NNP
#a cappella	NNP
#a fortiori	NNP
#a posteriori	NNP
#a priori	NNP
AB InBev	NNP
#ab initio	NNP
Abaco Islands	NNPS
Abercrombie & Fitch	NNP
Ableton Live	NNP
Absolut Vodka	NNP
Abt Associates	NNP
Abu Dhabi	NNP
acc.	NNP
Accel Partners	NNP
Acrobat Reader	NNP
Action démocratique du Québec	NNP
Activision Blizzard	NNP
actus reus	NN:U
Adam Sandler	NNP
Adam Schiff	NNP
Adblock Plus	NNP
Addis Ababa	NNP
Adobe Acrobat	NNP
Adobe Digital Government	NNP
Adobe Fireworks	NNP
Adobe Premiere	NNP
Adobe XD	NNP
advisor 	NNP
After Effects	NNP
Agawam Town	NNP
Agua Prieta	NNP
Ai Weiwei	NNP
Ailill mac Máta	NNP
Air China	NNP
Air France	NNP
Air New Zealand	NNP
Al Arabiya	NNP
Al Capone	NNP
#al dente	NNP
#al fresco	NNP
Al Gore	NNP
Al Green	NNP
Al Jazeera	NNP
Al Pacino	NNP
Albert Einstein	NNP
Albert Schweitzer	NNP
Alboran Sea	NNP
Albrecht Dürer	NNP
Aldous Huxley	NNP
Alec Baldwin	NNP
Alexander Fleming	NNP
Alexander Graham Bell	NNP
Alfa Romeo	NNP
Alfred Hitchcock	NNP
Alfred North Whitehead	NNP
All Nippon Airways	NNP
Allan Poe	NNP
Allied Van Lines	NNP
AllState Insurance Group	NNP
alma mater	NN
alma maters	NNS
Alpha Centauri	NNP
Altamonte Springs	NNP
Alyssa Milano	NNP
Amador County	NNP
Amar Ujala	NNP
Amazon Appstore	NNP
Amazon Echo	NNP
Amazon Prime	NNP
Amazon Prime Video	NNP
Amazon Web Services	NNP
AMD Athlon	NNP
American Airlines	NNP
American Express	NNP
American Horror Story	NNP
American Red Ball Movers	NNP
amici curiae	NN
amicus curiae	NNS
Amida Technology Solutions	NNP
Amnesty International	NNP
amour propre	NN:U
Amro Bank	NNP
Amy Winehouse	NNP
ancien régime	NN
Ancien Régime	NNP
anciens régimes	NNS
Andreessen Horowitz	NNP
Andrew Cuomo	NNP
Android Wear	NNP
Andy Jassy	NNP
Andy Warhol	NNP
Angela Merkel	NNP
Angelina Jolie	NNP
Anheuser-Busch InBev	NNP
Animal Crossing	NNP
Anne Hathaway	NNP
anni mirabiles	NNS
annus mirabilis	NN
Ant Financial	NNP
Anthony Blinken	NNP
Anthony Hopkins	NNP
Antonio Banderas	NNP
Apextech LLC	NNP
App Store Connect	NNP
appellation contrôlée	NN
Apple Arcade	NNP
Apple Books	NNP
Apple Books Store	NNP
Apple Mail	NNP
Apple Music	NNP
Apple One	NNP
Apple One Family	NNP
Apple One Individual	NNP
Apple One Premier	NNP
Apple Podcasts	NNP
Apple TV	NNP
Apple Wallet	NNP
Apple Watch	NNP
Apple Watch Series	NNP
Arc de Triomphe	NNP
Arctic Monkeys	NNP
Aretha Franklin	NNP
Arpin Van Lines	NNP
Arrive Labs	NNP
ars gratia artis	NN:U
Ars Technica	NNP
Arthur Schopenhauer	NNP
Arunachal Pradesh	NNP
ASC Partners	NNP
Asian Paints	NNP
Assassin's Creed	NNP
Associated Press	NNP
Aston Martin	NNP
Astra Zeneca	NNP
Atlanta Hawks	NNP
Atlas Van Lines	NNP
au beurre	JJ
au contraire	UH
au courant	JJ
au fait	JJ
au fond	RB
au gratin	JJ
au jus	JJ
au naturel	JJ
Audemars Piguet	NNP
audi alteram partem	_multiword_
Audi TT	NNP
Audrey Hepburn	NNP
auld lang syne	NN:U
Aunt Bertha	NNP
Aureus Sciences	NNP
Auto Europe	NNP
AutoGrid Systems	NNP
autrefois acquit	_multiword_
autrefois convict	_multiword_
Ava Gardner	NNP
Avril Lavigne	NNP
Axel Springer	NNP
Axl Rose	NNP
Backstreet Boys	NNP
Bahá'í	NNP
Baillie Gifford	NNP
Baja California	NNP
Baja California Sur	NNP
Bajina Bašta	NNP
BaleFire Global	NNP
Ballon d'Or	NNP
Ballona Creek	NNP
Ballona Wetlands	NNP
Ban Ki-moon	NNP
Bang & Olufsen	NNP
Bank of America	NNP
Bank of England	NNP
Bank of Nova Scotia	NNP
Bar Rafaeli	NNP
Barack Obama	NNP
Baruch Spinoza	NNP
Bates Motel	NNP
Battle Creek	NNP
Battlestar Galactica	NNP
BBC World News	NNP
Be Informed	NNP
Beale Street	NNP
Beastie Boys	NNPS
beau geste	NN
beau idéal	NN
beau idéals	NNS
beau monde	NN:U
beaux arts	NNS
beaux gestes	NNS
beaux idéals	NNS
Bee Gees	NNP
Bel Air	NNP
Bel Ami	NNP
Bel Canto	NNP
Bel Group	NNP
Bella Hadid	NNP
belle époque	NN
Belle Époque	NNP
Belo Horizonte	NNP
Ben Affleck	NNP
Ben Hur	NNP
Benito Juárez	NNP
Benito Mussolini	NNP
Benjamin Franklin	NNP
Bergen County	NNP
Bergisch Gladbach	NNP
Berkery Noyes MandASoft	NNP
Berkshire Hathaway	NNP
Bernard Arnault	NNP
Bernie Sanders	NNP
Bertha von Suttner	NNP
Bertolt Brecht	NNP
Bertrand Russell	NNP
Best Buy	NNP
Beto O'Rourke	NNP
Bette Davis	NNP
Better Call Saul	NNP
Betty Grable	NNP
Beyond Meat	NNP
Bhagavad Gita	NNP
Bharti Airtel	NNP
Big Cass	NNP
Big Sur	NNP
Biggie Smalls	NNP
Bill Clinton	NNP
Bill Gates	NNP
Bill Murray	NNP
Billie Eilish	NNP
Billy Joel	NNP
Black Eyed Peas	NNP
Black Lives Matter	NNP
Black Mirror	NNP
Black Sabbath	NNP
blackbody radiation	NN:U
Blair Witch	NNP
Blair Witch Project	NNP
Blaí Briugu	NNP
Blink 182	NNP
Bloomberg News	NNP
BMW iNext	NNP
BMW iX	NNP
BNP Paribas	NNP
Bob Dylan	NNP
Bob Geldof	NNP
Bob Marley	NNP
Bob's Burgers	NNP
Boca Chica	NNP
Boca Juniors	NNP
Boca Raton	NNP
Boeuf River	NNP
Boeuf Township	NNP
bon appétit	UH
#bona fide	NNP
#bona fides	NNP
Bondi Beach	NNP
Bonnie Tyler	NNP
bons mots	NNS
bons vivants	NNS
Booz Allen Hamilton	NNP
Bora Bora	NNP
Boris Becker	NNP
Boris Johnson	NNP
Borsa Italiana	NNP
Boston Celtics	NNP
Boston Consulting Group	NNP
Boston Dynamics	NNP
Boston Globe	NNP
bottlenose dolphin	NN
bottlenose dolphins	NNS
Boynton Beach	NNP
Brad Pitt	NNP
Braine-l'Alleud	NNP
Bretton Woods	NNP
Brevard County	NNP
Brian Eno	NNP
Brigitte Bardot	NNP
Bristol Myers	NNP
Bristol Myers Squibb	NNP
British Airways	NNP
Britney Spears	NNP
Brokeback Mountain	NNP
Brooklyn Nets	NNP
Bruce Schneier	NNP
Bruce Springsteen	NNP
Bruce Wayne	NNP
#Bruce Willis	NNP
brussels sprout	NN
brussels sprouts	NNS
Brønsted-Lowry acid	NN
Brønsted-Lowry acids	NNS
Brønsted-Lowry base	NN
Brønsted-Lowry bases	NNS
BTS Universe	NNP
Bubba Gump	NNP
Bubba Wallace	NNP
Bud Light	NNP
Bud Spencer	NNP
Buddy Holly	NNP
Budweiser Light	NNP
Buena Park	NNP
Buena Vista	NNP
Buena Vista Social Club	NNP
Buenos Aires	NNP
Buffalo Sabres	NNP
Bugs Bunny	NNP
Burger King	NNP
Burj Khalifa	NNP
Burkina Faso	NNP
Business and Legal Resources	NNP
Business Monitor International	NNP
bête noire	NN
bête noires	NNS
c'est la guerre	_multiword_
C++	NNP
café au lait	NN:U
café noir	NN:U
Cahuenga Pass	NNP
Call of Duty	NNP
Calvin Harris	NNP
Calvin Klein	NNP
Cambridge Analytica	NNP
Cambridge Information Group	NNP
Cambridge Semantics	NNP
Cameron Diaz	NNP
Campo Grande	NNP
CAN Capital	NNP
Candy Crush	NNP
Candy Crush Saga	NNP
Cao Cao	NNP
Capital Cube	NNP
Capital One	NNP
Capitol Reef	NNP
Cara Delevingne	NNP
Cardi B	NNP
CareSet Systems	NNP
Carl Benz	NNP
Carl Friedrich Gauss	NNP
Carl Schenck	NNP
Carl Zeiss	NNP
Carnaby Street	NNP
Carquinez Strait	NNP
carte blanche	NN
Cary Grant	NNP
Casa Grande	NNP
Casa Milà	NNP
casus belli	NN
catalogue raisonné	NN
catalogues raisonnés	NNS
Cate Blanchett	NNP
Cathay Pacific	NNP
Cathay Pacific Airways	NNP
Catherine Zeta-Jones	NNP
cause célèbre	NN
causes célèbres	NNS
CB Insights	NNP
#cc'd	NNP
cc's	VBZ
Ceiba Solutions	NNP
Celine Dion	NNP
Center for Responsive Politics	NNP
Cesare Beccaria	NNP
Cet mac Mágach	NNP
chacun à son gout	UH
chacun à son goût	UH
Chadwick Boseman	NNP
Champions League	NNP
Channing Tatum	NNP
chargé d'affaires	NN
chargés d'affaires	NNS
Charles de Gaulle	NNP
Charles Dickens	NNP
Charles River Associates	NNP
Charles Schwab Corp	NNP
Charlie Chaplin	NNP
Charlie Hebdo	NNP
Charlie Sheen	NNP
Charlize Theron	NNP
Charlotte Hornets	NNP
Che Guevara	NNP
Cheadle-Möller-Barlow syndrome	NN:U
chef-d'œuvre	NN
chefs-d'œuvre	NNS
Chemical Abstracts Service	NNP
cherchez la femme	_multiword_
Chiang Rai	NNP
Chicago Bulls	NNP
Chichen Itza	NNP
Child Care Desk	NNP
China Eastern Airlines	NNP
China Southern Airlines	NNP
Chris Cuomo	NNP
Christ lag in Todesbanden	NNP
Christian Bale	NNP
Christian Dior	NNP
Christine Lagarde	NNP
Christoph Waltz	NNP
Chuck Berry	NNP
Chuck Norris	NNP
Chuck Schumer	NNP
Chula Vista	NNP
Chupa Chups	NNP
Cinco de Mayo	NNP
Cindy Crawford	NNP
cinéma vérité	NN:U
Cirque du Soleil	NNP
Cisco Systems	NNP
Citi Field	NNP
Ciudad Acuña	NNP
Ciudad Camargo	NNP
Ciudad Miguel Alemán	NNP
Civic Impulse LLC	NNP
Civic Insight	NNP
Civis Analytics	NNP
Clark Gable	NNP
Clark Kent	NNP
Clash of Clans	NNP
Clash Royale	NNP
Claude Monet	NNP
Claudia Schiffer	NNP
Clean Power Finance	NNP
ClearStory Data	NNP
Cleveland Cavaliers	NNP
Climate Corporation	NNP
Clint Eastwood	NNP
Clinton Eastwood	NNP
Coatlán Mixe	NNP
Code for America	NNP
Coffs Harbour	NNP
Coles County	NNP
Collective IP	NNP
College Abacus	NNP
College Board	NNP
Colleton County	NNP
Columbia Pictures	NNP
Comic Sans	NNP
comme ci, comme ça	JJ
comme il faut	JJ
Commodore 64	NNP
Compared Care	NNP
Compendia Bioscience Life Technologies	NNP
Compliance and Risks	NNP
compos mentis	JJ
Computer Packages	NNP
Condé Nast	NNP
Conor McGregor	NNP
Conrad Connect	NNP
Construction Monitor LLC	NNP
Consumer Electronics Show	NNP
Consumer Reports	NNP
Copyright Clearance Center	NNP
cor pulmonale	NN:U
#cordon bleu	NNP
cordon sanitaire	NN
cordons sanitaires	NNS
corpus delicti	NN
Costa Del Mar	NNP
Costa Rica	NNP
Costa Rican	NNP
Costa Ricans	NNP
Counter Strike	NNP
coup d'état	NN
coup de foudre	NN
coup de grâce	NN
Coup de grâce	NNS
Coup de Grâce	NNP
coup de main	NN
coup de théâtre	NN
coups d'état	NNS
coups de foudre	NNS
coups de grâce	NNS
coups de main	NNS
coups de théâtre	NNS
Creative Commons	NNP
Credit Karma	NNP
Credit Sesame	NNP
Credit Suisse	NNP
cri de coeur	NN
cri de cœur	NN
cris coeur	_multiword_
cris de coeur	NNS
cris de cœur	NNS
Cristiano Ronaldo	NNP
Cross Border Xpress	NNP
cross pattée	NN
crosses pattées	NNS
crème anglaise	NN:U
crème brûlée	NN
crème brûlées	NNS
crème de cacao	NN:U
crème de cassis	NN:U
crème de la crème	JJ
crème de menthe	NN:U
crème fraîche	NN:U
crèmes brûlées	NNS
Crédit Agricole	NNP
Crédit Mobilier	NNP
crêpe de chine	NN:U
crêpe de Chine	NN:U
cui bono	NN:U
Cul de Sac	NNP
Culver City	NNP
Curtis Mayfield	NNP
Côte d'Azur	NNP
Côte d'Ivoire	NNP
Côte d'Or	NNP
Cú Roí	NNP
D'Arcy	NNP
da Silva	NNP
da Vinci	NNP
Da Vinci Code	NNP
Dabo Health	NNP
Dade Boulevard	NNP
Daft Punk	NNP
Daily Mirror	NNP
Dainik Bhaskar	NNP
Dainik Jagran	NNP
Dallas Mavericks	NNP
Daly City	NNP
Daly College	NNP
Daly County	NNP
Daly River	NNP
Dan Brown	NNP
Daniel Craig	NNP
Daniel Day-Lewis	NNP
Danny Trejo	NNP
Dante Alighie	NNP
Darth Vader	NNP
David Bowie	NNP
David Guetta	NNP
David Hume	NNP
DC Comics	NNP
de nos jours	JJ
Debbie Reynolds	NNP
Deepwater Horizon	NNP
Deerfield Beach	NNP
Def Leppard	NNP
Dei gratia	RB
Del Norte	NNP
Del Norte County	NNP
Del Rey	NNP
Delivery Hero	NNP
Dell XPS	NNP
Delray Beach	NNP
Delta Air Lines	NNP
Demi Lovato	NNP
Den Haag	NNP
Denver Nuggets	NNP
Denzel Washington	NNP
Deo gratias	UH
Deo volente	RB
Department of Better Technology	NNP
Depeche Mode	NNP
Der Spiegel	NNP
dernier cri	NN:U
Des Moines	NNP
Desperate Housewives	NNP
Detroit Pistons	NNP
deus ex machina	NN
Deutsche Bahn	NNP
Deutsche Bank	NNP
Deutsche Bundesbank	NNP
Deutsche Mark	NNP
Deutsche Post	NNP
Deutsche Telekom	NNP
Deutsche Welle	NNP
Deutsche Wohnen	NNP
Deutsches Reich	NNP
Development Seed	NNP
Diane Kruger	NNP
Dick Cheney	NNP
Didi Chuxing	NNP
Diego Maradona	NNP
Dina Thanthi	NNP
Diridon Station	NNP
Dirk Nowitzki	NNP
Disambiguator Log	NNP
