#French multiwords file used for chunking
#separatorRegExp=[\t;]
Zootermopsis spp	Z e sp
Rishi Sunak	Z m s
Olaf Scholz	Z m s
Giorgia Meloni	Z f s
conjonction de coordination; N f s
conjonctions de coordination; N f p
conjonction de subordination; N f s
conjonctions de subordination; N f p
Régie autonome des transports parisiens; N f s
Régie publicitaire; N f s
Raymond Queneau	Z m s
Ouvroir de Littérature Potentielle; N m s
Gérard Lenorman	Z m s
Pierre Fontanier	Z m s
Jean de Nivelle	Z m s
Louis Bourdaloue	Z m s
Sturm und Drang	Z m s
herbes aromatiques; N f p
Jean-Jacques Goldman	Z m s
Place de la Concorde; N f s
Get 27; N m s
Alain Rey	Z m s
Boris Vian	Z m s
Jacques Brel	Z m s
Annie Ernaux	Z f s
Roman de Renart; N m s
Père Goriot; N m s
Mercedes Benz; Z e sp
Jean-Loup Chiflet	Z m s
Tristesse d’Olympio	Z e sp
Jean Echenoz	Z m s
La Henriade;Z e s
Pierre Dac	Z m s
Pierre Desproges	Z m s
Philippe Geluck	Z m s
Les Contemplations; Z e sp
Blaise Cendrars	Z m s
boule Quiès; N f s
boules Quiès; N f p
Erik Orsenna	Z m s
Henry Troyat	Z m s
James Prescott Joule	Z m s
John McAdam	Z m s
Joseph Ignace Guillotin	Z m s
Julien Gracq	Z m s
dune du Pilat; N f s
Louis de Béchameil	Z m s
Oraison funèbre de Henriette-Anne d’Angleterre; N f s
Philippe Noiret	Z m s
Raymond Devos	Z m s
René Etiemble	Z m s
Thomas Pesquet	Z m s
to-do list; N f s
Yann Quéffélec	Z m s
Yves Montand	Z m s
Zone à Faible Émission; N f s
Zones à Faible Émission; N f p
Édith Piaf	Z f s
Marie Darieussecq	Z f s
Alfred Jarry	Z m s
Jacques II de Chabannes de La Palice	Z m s
Jean Lescure	Z m s
Bobby Lapointe	Z m s
Pierre de Coulevain	Z m s
Marceline Desbordes-Valmore	Z f s
Joachim du Bellay	Z m s
Georges Pérec	Z m s
Danielle Grondein	Z f s
William Gallas	Z m s
Marcus Thuram	Z m s
Gaston Esnault	Z m s
Vicomte Ponson du Terrail	Z m s
Jean-Pierre Claris de Florian	Z m s
Christophe Michalak	Z m s
Cédric Grolet	Z m s
Philippe Conticini	Z m s
Mr Bean	Z m s
Vasco de Gama	Z m s
MaitressAdeline	Z f s
Nike Metcon	Z m s
Jean-Alexandre 	Z m s
Le Cid	Z e s
buyer persona; N e sp
making of; N m s
making ofs; N m p
has been; N m s
has been; J e sp
mass media; N m p
mass medias; N m p
hot money; N m s
crash test; N m s
crash tests; N m p
top secret; J e sp
earl grey; N m s
heroic fantasy; N e sp
Bashar el-Assad; Z m s
Frédéric Barberousse; Z m s
Del Monaco; Z m s
Du Bellay; Z m s
cap Cod; Z m s
Les Echos; Z m sp
Des Grieux; Z m s
De Coster; Z m s
Caf; N f s
De Sica; Z m s
Di Caprio; Z m s
Leonardo Di Caprio; Z m s
De Koninck; Z e sp
fake news; N f sp
Sables d'Olonne; Z e sp
La Faute-sur-Mer; Z e sp
La Seyne-sur-Mer; Z e sp
double bind; N m s
doubles binds; N m s
Stand Up; N m sp
Escape Game; N m s
Escape Games; N m p
Emma Award; Z m sp
moto club; N m s
moto clubs; N m p
Frédéric Thiollier; Z m s
La Barillais; Z m s
Dominique Tristant; Z m s
Green Solutions Awards; Z m sp
Pietro Fiorentini; Z m s
Diehl Metering; Z e s
Jérôme Chambin; Z m s
loi n°78-17 du 6 janvier 1978; N f s
Prisma Media; Z e s
Frédéric Thiollier; Z m s
La Barillais; Z m s
Dominique Tristant; Z m s
Green Solutions Awards; Z m sp
Pietro Fiorentini; Z m s
Diehl Metering; Z e s
Jérôme Chambin; Z m s
loi n°78-17 du 6 janvier 1978; N f s
Prisma Media; Z e s
Kaïs Saïed; Z m s
Zine el-Abidine Ben Ali; Z m s
Youssef Chahed; Z m s
Elyes Fakhfakh; Z m s
Hichem Mechichi; Z m s
Najla Bouden; Z f s
Ahmed Hachani; Z m s
Mohamed Ennaceur; Z m s
Béji Caïd Essebsi; Z m s
Taïeb Baccouche; Z m s
Félix Antoine Tshisekedi Tshilombo; Z m s
Bruno Tshibala; Z m s
Sylvestre Ilunga; Z m s
Sama Lukonde; Z m s
Joseph Kabila; Z m s
Abdoulaye Yerodia Ndombasi; Z m s
Azarias Ruberwa; Z m s
Jean-Pierre Bemba; Z m s
Arthur Z'ahidi Ngoma; Z m s
Antoine Gizenga; Z m s
Adolphe Muzito; Z m s
Louis Koyagialo; Z m s
Augustin Matata Ponyo; Z m s
Samy Badibanga; Z m s
Bruno Tshibala; Z m s
Laurent-Désiré Kabila; Z m s
Abdelmadjid Tebboune; Z m s
Sabri Boukadoum; Z m s
Abdelaziz Djerad; Z m s
Aïmene Benabderrahmane; Z m s
Mohammed VI; Z m s
Aziz Akhannouch; Z m s
Abbas El Fassi; Z m s
Abdelilah Benkirane; Z m s
Saad Dine El Otmani; Z m s
El Fassi; Z m s
Mohand Laenser; Z m s
Mohamed Sadiki; Z m s
Alassane Ouattara; Z m s
Tiémoko Meyliet Koné; Z m s
Patrick Achi; Z m s
Adama Bictogo; Z m s
Jeannot Ahoussou-Kouadio; Z m s
Paul Biya; Z m s
Joseph Dion Ngute; Z m s
Marcel Niat Njifenji; Z m s
Christian Ntsay; Z m s
Hery Rajaonarimampianina; Z m s
Rivo Rakotovao; Z m s
Andry Rajoelina; Z m s
Olivier Jocelyn Mahafaly Solonandrasana; Z m s
Ibrahim Traoré; Z m s
Apollinaire Joachim Kyélem de Tambèla; Z m s
Paul-Henri Sandaogo Damiba; Z m s
Albert Ouédraogo; Z m s
Leïla Ben Ali; Z f s
Moncef Marzouki; Z f s
Patrice Lumumba; Z f s
Kah Walla; Z f s
Fatou Bensouda; Z f s
Djamila Bouhired; Z f s
Rama Yade; Z f s
Sékou Touré; Z f s
Amina Mohamed; Z f s
Ellen Johnson Sirleaf; Z f s
Paul Kagame; Z m s
Yoweri Museveni; Z m s
Macky Sall; Z m s
Hage Geingob; Z m s
Hailemariam Desalegn; Z m s
Léopold Sédar Senghor; Z m s
Nawal El Saadawi; Z f s
Leïla Slimani; Z f s
Chinua Achebe; Z m s
Amin Maalouf; Z m s
Assia Djebar; Z f s
Maryse Condé; Z f s
Alain Mabanckou; Z m s
Dany Laferrière; Z m s
Tahar Ben Jelloun; Z m s
Yasmina Reza; Z f s
Marie NDiaye; Z f s
Hicham Saïed; Z m s
Ichraf Chebil; Z f s
Rachid Taha; Z m s
Raouf Bouzaiene; Z m s
Latifa Arfaoui; Z m s
Taoufik Ben Brik; Z m s
Ons Jabeur; Z f s
Youssef Msakni; Z m s
Néjib Belkadhi; Z m s
Amina Sboui; Z f s
Fally Ipupa; Z m s
Cédric Bakambu; Z m s
Denis Mukwege; Z m s
Dieudonné M'bala M'bala; Z m s
Evelyne Dhéliat; Z f s
Makaya Ntshayi; Z m s
Angélique Kidjo; Z f s
Aïssa Maïga; Z f s
Assia Djebar; Z f s
Rokia Traoré; Z f s
Olivier Salleron; Z m s
Energy Related Product; N m s
Frank Nya Nkamtse; Z m s
loi Elan; N f s
Amantine Aurore Lucile Dupin de Francueil; Z f s
Arnold Böcklin; Z m s
Bib gourmand; Z m s
Cathédrale Saint-Michel-et-Gudule; Z f s
Colonel Chabert; Z m s
Henry Beyle; Z m s
Jacques Chazot; Z m s
Jean d'Ormesson; Z m s
La Fanfarlo; Z e s
La Princesse d'Élide; Z e s
Laurence Caracalla; Z f s
Le Horla; Z e s
Les Quatre filles du docteur March; Z m s
Louisa May Alcott; Z f s
Lucien Leuwen; Z m s
Marcel Azzola; Z m s
maréchal Joffre; Z m s
Michel de Coster; Z m s
Miguel Ruiz; Z m s
Odilon Redon; Z m s
Philippe Delerm; Z m s
Ruy Blas; Z m s
Simone Louise de Pinet de Borde des Forest; Z f s
Thérèse Raquin; Z e s
Tonino Benacquista; Z m s
plug and play; N m s
Paul Signac; Z m s
tegenaria domestica; N f s
Paul Dubrule; Z m s
Gérard Pélisson; Z m s
mont Fallère; N m s
La Brévine; Z m s
Lac Arpitetta; Z m s
Lac Brenet; Z m s
Lac Brunet; Z m s
Lac d’Ai; Z m s
Lac d’Emosson; Z m s
Lac d’Icogne; Z m s
Lac d’Orny; Z m s
Lac de Blantsin; Z m s
Lac de Bret; Z m s
Lac de Bretaye; Z m s
Lac de Catogne; Z m s
Lac de Champex; Z m s
Lac de Chanrion; Z m s
Lac de Châteaupré; Z m s
Lac de Chermignon; Z m s
Lac de Chésery; Z m s
Lac de Cleuson; Z m s
Lac de Combavert; Z m s
Lac de Conche; Z m s
Lac de Derborence; Z m s
Lac de Fontanabran; Z m s
Lac de Géronde; Z m s
Lac de Huiton; Z m s
Lac de Joux; Z m s
Lac de l’Armina; Z m s
Lac de l’Entonnoir; Z m s
Lac de l’Hongrin; Z m s
Lac de la Bayenna; Z m s
Lac de la Bella Tola; Z m s
Lac de la Forcle; Z m s
Lac de Lessoc; Z m s
Lac de Lona; Z m s
Lac de Louvie; Z m s
Lac de Lovenay; Z m s
Lac de Lussy; Z m s
Lac de Mauvoisin; Z m s
Lac de Mayen; Z m s
Lac de Moiry; Z m s
Lac de Mongeron; Z m s
Lac de Montsalvens; Z m s
Lac de Morat; Z m s
Lac de Morgins; Z m s
Lac de Moron; Z m s
Lac de Mouchy; Z m s
Lac de Nervaux; Z m s
Lac de Neuchâtel; Z m s
Lac de Recon; Z m s
Lac de Salanfe; Z m s
Lac de Sauvabelin; Z m s
Les Brenets; Z m s
Rachida Dati; Z f s
Lana Del Rey; Z f s
Gilles Legardinier; Z m s
Rune Söderqvist; Z m s
Raymond Loewy; Z m s
SNCF inOui; Z e sp
Under Armour; Z e sp
ding dong; I
toc toc; I
Oussama ben Laden;Z m s
Nikolaï Rimski-Korsakov;Z m s
in vino veritas;A
Customer Success; N m s
API token; N m s
AX Bionic; Z e sp
logiciel OCR; N m s
logiciels OCR; N m p
Reconnaissance Optique de Caractères; N f s
Gélase; Z m s
Lupercus; Z m s
Luperque; N m s
Luperques; N m p
Juliette Drouot; Z f s
Hô Chi Minh-Ville;Z e s
Hô Chi Minh;Z e s
# Multiword FR cities
Ance Féas;Z e sp
Arboys en Bugey;Z e sp
Argences en Aubrac;Z e sp
Aure sur Mer;Z e sp
Aux Marais;Z e sp
Bagnoles de l'Orne Normandie;Z e sp
Bairon et ses environs;Z e sp
Bassillac et Auberoche;Z e sp
Bazouges Cré sur Loir;Z e sp
Beauce la Romaine;Z e sp
Beaumontois en Périgord;Z e sp
Belle Vie en Auge;Z e sp
Bon Repos sur Blavet;Z e sp
Boulazac Isle Manoire;Z e sp
Bourgs sur Colagne;Z e sp
Brantôme en Périgord;Z e sp
Bresse Vallons;Z e sp
Brissac Loire Aubance;Z e sp
Cans et Cévennes;Z e sp
Castelnau d'Auzan Labarrère;Z e sp
Castels et Bézenac;Z e sp
Castets et Castillon;Z e sp
Chambaron sur Morge;Z e sp
Champigny en Rochereau;Z e sp
Charny Orée de Puisaye;Z e sp
Chemaudin et Vaux;Z e sp
Clef Vallée d'Eure;Z e sp
Colombey les Deux Églises;Z e sp
Commune nouvelle d'Arrou;Z e sp
Coteaux du Lizon;Z e sp
Creully sur Seulles;Z e sp
Crêts en Belledonne;Z e sp
Cœur de Causse;Z e sp
Deux Rivières;Z e sp
Dialan sur Chaîne;Z e sp
Doix lès Fontaines;Z e sp
Domfront en Poiraie;Z e sp
Druelle Balsac;Z e sp
Essarts en Bocage;Z e sp
Florac Trois Rivières;Z e sp
Forges de Lanouée;Z e sp
Formigny La Bataille;Z e sp
Gorges du Tarn Causses;Z e sp
Gouffern en Auge;Z e sp
Grand Bourgtheroulde;Z e sp
Haut Valromey;Z e sp
Hauts de Bienne;Z e sp
Jarzé Villages;Z e sp
Juvigny Val d'Andaine;Z e sp
Juvigny les Vallées;Z e sp
Kaysersberg Vignoble;Z e sp
La Bachellerie;Z f s
La Baconnière;Z f s
La Baffe;Z f s
La Baleine;Z f s
La Balme;Z f s
La Barben;Z f s
La Barde;Z f s
La Baronnie;Z f s
La Barre;Z f s
La Bassée;Z f s
La Bastide;Z f s
La Bastidonne;Z f s
La Bauche;Z f s
La Baume;Z f s
La Baussaine;Z f s
La Bazeuge;Z f s
La Bazoge;Z f s
La Bazoque;Z f s
La Beaume;Z f s
La Belliole;Z f s
La Bellière;Z f s
La Berlière;Z f s
La Bernardière;Z f s
La Berthenoux;Z f s
La Besace;Z f s
La Bezole;Z f s
La Bigottière;Z f s
La Biolle;Z f s
La Bloutière;Z f s
La Boisse;Z f s
La Boissière;Z f s
La Bonneville;Z f s
La Bosse;Z f s
La Bouilladisse;Z f s
La Bouille;Z f s
La Bouillie;Z f s
La Boulaye;Z f s
La Bourboule;Z f s
La Bourgonce;Z f s
La Boussac;Z f s
La Bouteille;Z f s
La Bouëxière;Z f s
La Bresse;Z f s
La Bretenière;Z f s
La Bridoire;Z f s
La Brigue;Z f s
La Brillanne;Z f s
La Brionne;Z f s
La Broque;Z f s
La Brousse;Z f s
La Bruffière;Z f s
La Bruguière;Z f s
La Bruyère;Z f s
La Brède;Z f s
La Brûlatte;Z f s
La Buisse;Z f s
La Buissière;Z f s
La Burbanche;Z f s
La Bussière;Z f s
La Buxerette;Z f s
La Bâthie;Z f s
La Cabanasse;Z f s
La Caine;Z f s
La Calmette;Z f s
La Calotterie;Z f s
La Cambe;Z f s
La Canourgue;Z f s
La Capelle;Z f s
La Cassagne;Z f s
La Cassaigne;Z f s
La Cauchie;Z f s
La Caunette;Z f s
La Caure;Z f s
La Cavalerie;Z f s
La Celette;Z f s
La Celle;Z f s
La Cellette;Z f s
La Cerlangue;Z f s
La Chabanne;Z f s
La Chailleuse;Z f s
La Chaise;Z f s
La Chamba;Z f s
La Chambonie;Z f s
La Chambre;Z f s
La Champenoise;Z f s
La Chapelaude;Z f s
La Chapelle;Z f s
La Chapelle du Lou du Lac;Z f s
La Chapelotte;Z f s
La Charce;Z f s
La Charme;Z f s
La Charmée;Z f s
La Chassagne;Z f s
La Chaudière;Z f s
La Chaulme;Z f s
La Chaume;Z f s
La Chaumusse;Z f s
La Chaussade;Z f s
La Chaussée;Z f s
La Chaux;Z f s
La Chavanne;Z f s
La Chavatte;Z f s
La Chenalotte;Z f s
La Cheppe;Z f s
La Chevallerais;Z f s
La Chevillotte;Z f s
La Chevrolière;Z f s
La Chomette;Z f s
La Châtaigneraie;Z f s
La Châtelaine;Z f s
La Châtre;Z f s
La Chèvrerie;Z f s
La Chèze;Z f s
La Ciotat;Z f s
La Clayette;Z f s
La Clisse;Z f s
La Clotte;Z f s
La Clusaz;Z f s
La Collancelle;Z f s
La Colombe;Z f s
La Comelle;Z f s
La Compôte;Z f s
La Comté;Z f s
La Copechagnière;Z f s
La Coquille;Z f s
La Corbière;Z f s
La Coucourde;Z f s
La Coulonche;Z f s
La Courneuve;Z f s
La Couronne;Z f s
La Courtine;Z f s
La Courtète;Z f s
La Couture;Z f s
La Couvertoirade;Z f s
La Couyère;Z f s
La Crau;Z f s
La Cresse;Z f s
La Creuse;Z f s
La Crique;Z f s
La Croisille;Z f s
La Croixille;Z f s
La Cropte;Z f s
La Crouzille;Z f s
La Crèche;Z f s
La Côte;Z f s
La Demie;Z f s
La Destrousse;Z f s
La Devise;Z f s
La Dominelais;Z f s
La Dornac;Z f s
La Dorée;Z f s
La Douze;Z f s
La Drenne;Z f s
La Désirade;Z f s
La Fajolle;Z f s
La Falaise;Z f s
La Faloise;Z f s
La Farlède;Z f s
La Faurie;Z f s
La Favière;Z f s
La Faye;Z f s
La Fermeté;Z f s
La Ferrière;Z f s
La Ferté;Z f s
La Ferté Macé;Z f s
La Feuillade;Z f s
La Feuillie;Z f s
La Feuillée;Z f s
La Flachère;Z f s
La Flamengrie;Z f s
La Flotte;Z f s
La Flèche;Z f s
La Folie;Z f s
La Fontelaye;Z f s
La Fontenelle;Z f s
La Force;Z f s
La Forclaz;Z f s
La Forestière;Z f s
La Forge;Z f s
La Forie;Z f s
La Forteresse;Z f s
La Fouillade;Z f s
La Fouillouse;Z f s
La Framboisière;Z f s
La Francheville;Z f s
La Frasnée;Z f s
La Freissinouse;Z f s
La Fresnais;Z f s
La Frette;Z f s
La Frénaye;Z f s
La Fère;Z f s
La Férée;Z f s
La Gacilly;Z f s
La Gaillarde;Z f s
La Garde;Z f s
La Garnache;Z f s
La Gaubretière;Z f s
La Gaudaine;Z f s
La Gaude;Z f s
La Genevraie;Z f s
La Genevraye;Z f s
La Genevroye;Z f s
La Geneytouse;Z f s
La Genétouze;Z f s
La Genête;Z f s
La Giettaz;Z f s
La Gimond;Z f s
La Godefroy;Z f s
La Godivelle;Z f s
La Gonfrière;Z f s
La Gorgue;Z f s
La Gouesnière;Z f s
La Goulafrière;Z f s
La Goutelle;Z f s
La Grandville;Z f s
La Grange;Z f s
La Grave;Z f s
La Gravelle;Z f s
La Gresle;Z f s
La Grigonnais;Z f s
La Grimaudière;Z f s
La Groise;Z f s
La Groutte;Z f s
La Guerche;Z f s
La Guiche;Z f s
La Guierche;Z f s
La Guillermie;Z f s
La Guérinière;Z f s
La Hague;Z f s
La Hallotière;Z f s
La Harengère;Z f s
La Harmoye;Z f s
La Hauteville;Z f s
La Haye;Z f s
La Herlière;Z f s
La Heunière;Z f s
La Hoguette;Z f s
La Horgne;Z f s
La Houblonnière;Z f s
La Houssaye;Z f s
La Houssière;Z f s
La Houssoye;Z f s
La Hérelle;Z f s
La Hérie;Z f s
La Jard;Z f s
La Jarne;Z f s
La Jarrie;Z f s
La Jaudonnière;Z f s
La Javie;Z f s
La Jonchère;Z f s
La Laigne;Z f s
La Landec;Z f s
La Latette;Z f s
La Laupie;Z f s
La Limouzinière;Z f s
La Livinière;Z f s
La Llagonne;Z f s
La Loge;Z f s
La Londe;Z f s
La Longeville;Z f s
La Longine;Z f s
La Longueville;Z f s
La Loubière;Z f s
La Loupe;Z f s
La Loye;Z f s
La Luzerne;Z f s
La Léchère;Z f s
La Machine;Z f s
La Madeleine;Z f s
La Magdeleine;Z f s
La Malachère;Z f s
La Malhoure;Z f s
La Malmaison;Z f s
La Malène;Z f s
La Mancelière;Z f s
La Marche;Z f s
La Marne;Z f s
La Marre;Z f s
La Martre;Z f s
La Martyre;Z f s
La Maxe;Z f s
La Meauffe;Z f s
La Merlatière;Z f s
La Mesnière;Z f s
La Meurdraquière;Z f s
La Meyze;Z f s
La Milesse;Z f s
La Moncelle;Z f s
La Monselie;Z f s
La Montagne;Z f s
La Morte;Z f s
La Motte;Z f s
La Mouche;Z f s
La Mulatière;Z f s
La Muraz;Z f s
La Mure;Z f s
La Murette;Z f s
La Méaugon;Z f s
La Ménitré;Z f s
La Mézière;Z f s
La Môle;Z f s
La Neuville;Z f s
La Norville;Z f s
La Nouaille;Z f s
La Nouaye;Z f s
La Noue;Z f s
La Pacaudière;Z f s
La Pallu;Z f s
La Palme;Z f s
La Panouse;Z f s
La Pellerine;Z f s
La Penne;Z f s
La Perche;Z f s
La Pernelle;Z f s
La Pesse;Z f s
La Peyratte;Z f s
La Piarre;Z f s
La Pierre;Z f s
La Pisseure;Z f s
La Plagne Tarentaise;Z f s
La Plaine;Z f s
La Planche;Z f s
La Planée;Z f s
La Pomarède;Z f s
La Pommeraye;Z f s
La Porcherie;Z f s
La Porta;Z f s
La Porte du Der;Z f s
La Possession;Z f s
La Possonnière;Z f s
La Postolle;Z f s
La Pouge;Z f s
La Prénessaye;Z f s
La Prétière;Z f s
La Puisaye;Z f s
La Puye;Z f s
La Pyle;Z f s
La Pérouille;Z f s
La Quarte;Z f s
La Quinte;Z f s
La Rabatelière;Z f s
La Racineuse;Z f s
La Ravoire;Z f s
La Redorte;Z f s
La Regrippière;Z f s
La Remaudière;Z f s
La Remuée;Z f s
La Renaudie;Z f s
La Ricamarie;Z f s
La Richardais;Z f s
La Riche;Z f s
La Rivière;Z f s
La Rixouse;Z f s
La Rochegiron;Z f s
La Rochelle;Z f s
La Rochepot;Z f s
La Rochette;Z f s
La Rochénard;Z f s
La Romagne;Z f s
La Romaine;Z f s
La Romieu;Z f s
La Ronde;Z f s
La Roquebrussanne;Z f s
La Roquette;Z f s
La Roquille;Z f s
La Rosière;Z f s
La Rothière;Z f s
La Rouaudière;Z f s
La Rouquette;Z f s
La Rouvière;Z f s
La Roë;Z f s
La Réole;Z f s
La Réorthe;Z f s
La Réunion;Z f s
La Sabotterie;Z f s
La Salle;Z f s
La Saucelle;Z f s
La Saulce;Z f s
La Saulsotte;Z f s
La Saunière;Z f s
La Saussaye;Z f s
La Sauve;Z f s
La Sauvetat;Z f s
La Selve;Z f s
La Sentinelle;Z f s
La Serpent;Z f s
La Serre;Z f s
La Sommette;Z f s
La Souche;Z f s
La Souterraine;Z f s
La Sure en Chartreuse;Z f s
La Ségalassière;Z f s
La Séguinière;Z f s
La Sône;Z f s
La Table;Z f s
La Tagnière;Z f s
La Taillée;Z f s
La Talaudière;Z f s
La Tardière;Z f s
La Terrasse;Z f s
La Tessoualle;Z f s
La Thieuloye;Z f s
La Thuile;Z f s
La Tieule;Z f s
La Tombe;Z f s
La Touche;Z f s
La Tour;Z f s
La Tourette;Z f s
La Tranclière;Z f s
La Tremblade;Z f s
La Trimouille;Z f s
La Trinitat;Z f s
La Trinité;Z f s
La Tronche;Z f s
La Truchère;Z f s
La Trétoire;Z f s
La Tuilière;Z f s
La Turballe;Z f s
La Turbie;Z f s
La Tâche;Z f s
La Vacherie;Z f s
La Vaivre;Z f s
La Valette;Z f s
La Vallée;Z f s
La Vancelle;Z f s
La Vaupalière;Z f s
La Vendelée;Z f s
La Ventrouze;Z f s
La Verdière;Z f s
La Vergenne;Z f s
La Vergne;Z f s
La Vernarède;Z f s
La Vernaz;Z f s
La Vernelle;Z f s
La Vernotte;Z f s
La Verpillière;Z f s
La Verrière;Z f s
La Versanne;Z f s
La Veuve;Z f s
La Vicogne;Z f s
La Villedieu;Z f s
La Villeneuve;Z f s
La Villetelle;Z f s
La Villette;Z f s
La Vineuse sur Fregande;Z f s
La Voivre;Z f s
La Vèze;Z f s
La Wantzenau;Z f s
Le Bailleul;Z m s
Le Baizil;Z m s
Le Barboux;Z m s
Le Barcarès;Z m s
Le Bardon;Z m s
Le Barp;Z m s
Le Barroux;Z m s
Le Bas Ségala;Z m s
Le Bastit;Z m s
Le Beaucet;Z m s
Le Beausset;Z m s
Le Bernard;Z m s
Le Bersac;Z m s
Le Bessat;Z m s
Le Beulay;Z m s
Le Bez;Z m s
Le Bignon;Z m s
Le Biot;Z m s
Le Bizot;Z m s
Le Blanc;Z m s
Le Bocasse;Z m s
Le Bodéo;Z m s
Le Boisle;Z m s
Le Bonhomme;Z m s
Le Born;Z m s
Le Bosc;Z m s
Le Bosc du Theil;Z m s
Le Bouchage;Z m s
Le Bouchaud;Z m s
Le Bouillon;Z m s
Le Boulay;Z m s
Le Boulou;Z m s
Le Boupère;Z m s
Le Bourdeix;Z m s
Le Bourdet;Z m s
Le Bourg;Z m s
Le Bourget;Z m s
Le Bourguet;Z m s
Le Bouscat;Z m s
Le Bousquet;Z m s
Le Bouyssou;Z m s
Le Brethon;Z m s
Le Breuil;Z m s
Le Brignon;Z m s
Le Broc;Z m s
Le Brugeron;Z m s
Le Brusquet;Z m s
Le Brévedent;Z m s
Le Bugue;Z m s
Le Buis;Z m s
Le Buisson;Z m s
Le Buret;Z m s
Le Burgaud;Z m s
Le Busseau;Z m s
Le Béage;Z m s
Le Bélieu;Z m s
Le Bô;Z m s
Le Cabanial;Z m s
Le Cailar;Z m s
Le Caire;Z m s
Le Cambout;Z m s
Le Cannet;Z m s
Le Carbet;Z m s
Le Cardonnois;Z m s
Le Carlaret;Z m s
Le Castelet;Z m s
Le Castellet;Z m s
Le Castéra;Z m s
Le Catelet;Z m s
Le Catelier;Z m s
Le Causé;Z m s
Le Caylar;Z m s
Le Cayrol;Z m s
Le Cellier;Z m s
Le Cendre;Z m s
Le Cercueil;Z m s
Le Cergne;Z m s
Le Chaffal;Z m s
Le Chalange;Z m s
Le Chalard;Z m s
Le Chalon;Z m s
Le Chambon;Z m s
Le Charme;Z m s
Le Charmel;Z m s
Le Chastang;Z m s
Le Chateley;Z m s
Le Chauchet;Z m s
Le Chautay;Z m s
Le Chay;Z m s
Le Cheix;Z m s
Le Chemin;Z m s
Le Cheylard;Z m s
Le Cheylas;Z m s
Le Chillou;Z m s
Le Châtelard;Z m s
Le Châtelet;Z m s
Le Châtelier;Z m s
Le Châtellier;Z m s
Le Chêne;Z m s
Le Claon;Z m s
Le Clapier;Z m s
Le Clat;Z m s
Le Claux;Z m s
Le Clerjus;Z m s
Le Compas;Z m s
Le Conquet;Z m s
Le Cormier;Z m s
Le Coteau;Z m s
Le Coudray;Z m s
Le Cours;Z m s
Le Crest;Z m s
Le Crestet;Z m s
Le Creusot;Z m s
Le Crocq;Z m s
Le Croisic;Z m s
Le Croisty;Z m s
Le Cros;Z m s
Le Crotoy;Z m s
Le Crouais;Z m s
Le Crouzet;Z m s
Le Crozet;Z m s
Le Crès;Z m s
Le Cuing;Z m s
Le Deschaux;Z m s
Le Diamant;Z m s
Le Donjon;Z m s
Le Donzeil;Z m s
Le Dorat;Z m s
Le Douhet;Z m s
Le Doulieu;Z m s
Le Dourn;Z m s
Le Drennec;Z m s
Le Détroit;Z m s
Le Dézert;Z m s
Le Faget;Z m s
Le Falgoux;Z m s
Le Faou;Z m s
Le Faouët;Z m s
Le Fau;Z m s
Le Fauga;Z m s
Le Faulq;Z m s
Le Favril;Z m s
Le Fay;Z m s
Le Fayel;Z m s
Le Fel;Z m s
Le Fenouiller;Z m s
Le Ferré;Z m s
Le Fidelaire;Z m s
Le Fied;Z m s
Le Fieu;Z m s
Le Fleix;Z m s
Le Folgoët;Z m s
Le Fossat;Z m s
Le Fouilloux;Z m s
Le Fournet;Z m s
Le Fousseret;Z m s
Le François;Z m s
Le Frasnois;Z m s
Le Fraysse;Z m s
Le Fresne;Z m s
Le Fréchet;Z m s
Le Fréty;Z m s
Le Frêche;Z m s
Le Fugeret;Z m s
Le Fête;Z m s
Le Fœil;Z m s
Le Gallet;Z m s
Le Garn;Z m s
Le Garric;Z m s
Le Gicq;Z m s
Le Girouard;Z m s
Le Givre;Z m s
Le Glaizil;Z m s
Le Gosier;Z m s
Le Grais;Z m s
Le Gratteris;Z m s
Le Grez;Z m s
Le Grippon;Z m s
Le Grès;Z m s
Le Gua;Z m s
Le Guerno;Z m s
Le Guislain;Z m s
Le Gâvre;Z m s
Le Haillan;Z m s
Le Ham;Z m s
Le Hamel;Z m s
Le Hanouard;Z m s
Le Haut Soultzbach;Z m s
Le Havre;Z m s
Le Heaulme;Z m s
Le Hinglé;Z m s
Le Hohwald;Z m s
Le Horps;Z m s
Le Houga;Z m s
Le Houlme;Z m s
Le Héron;Z m s
Le Hézo;Z m s
Le Juch;Z m s
Le Lamentin;Z m s
Le Landin;Z m s
Le Landreau;Z m s
Le Langon;Z m s
Le Larderet;Z m s
Le Latet;Z m s
Le Lavandou;Z m s
Le Leslay;Z m s
Le Lesme;Z m s
Le Leuy;Z m s
Le Lindois;Z m s
Le Liège;Z m s
Le Lonzac;Z m s
Le Loreur;Z m s
Le Lorey;Z m s
Le Loroux;Z m s
Le Lorrain;Z m s
Le Louroux;Z m s
Le Louverot;Z m s
Le Luart;Z m s
Le Luc;Z m s
Le Lude;Z m s
Le Luhier;Z m s
Le Luot;Z m s
Le Mage;Z m s
Le Magnoray;Z m s
Le Magny;Z m s
Le Maisnil;Z m s
Le Malesherbois;Z m s
Le Manoir;Z m s
Le Mans;Z m s
Le Marigot;Z m s
Le Marin;Z m s
Le Martinet;Z m s
Le Mas;Z m s
Le Mazeau;Z m s
Le Mazis;Z m s
